Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP30_QP42,66.11,3.07,0.714,QP30_QP42,66.63,5.18,0.735,QP30_QP42,59.17,2.86,0.5660000000000001
QP30_QP45,59.24,3.58,0.636,QP30_QP45,57.41,6.05,0.631,QP30_QP45,57.83,1.93,0.5519999999999999
QP32_QP39,71.72,3.49,0.8019999999999999,QP32_QP39,74.5,3.38,0.8240000000000001,QP32_QP39,61.67,3.24,0.621
QP32_QP42,64.96,5.07,0.7070000000000001,QP32_QP42,66.7,4.07,0.727,QP32_QP42,60.0,3.33,0.583
QP32_QP45,60.09,4.05,0.636,QP32_QP45,59.35,4.64,0.651,QP32_QP45,57.5,2.64,0.557
QP35_QP39,68.57,4.18,0.764,QP35_QP39,70.63,3.97,0.7769999999999999,QP35_QP39,60.0,2.83,0.591
QP35_QP42,68.46,3.7,0.744,QP35_QP42,66.22,2.7,0.741,QP35_QP42,60.0,1.57,0.584
QP35_QP45,60.54,3.61,0.65,QP35_QP45,60.22,5.05,0.662,QP35_QP45,59.17,1.96,0.586
QP40_QP42,77.32,4.19,0.843,QP40_QP42,76.24,5.42,0.827,QP40_QP42,68.5,2.77,0.688
QP40_QP45,63.63,4.24,0.683,QP40_QP45,60.63,2.67,0.671,QP40_QP45,62.33,2.51,0.621
