Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
LINEAR90,80.0,82.59,81.3,0.73,81.67,80.0,0.9,0.0,0.91,0.89
LINEAR91,71.85,78.15,75.0,1.86,78.33,71.67,0.83,0.02,0.85,0.81
LINEAR92,75.56,64.07,69.81,1.55,71.67,66.67,0.77,0.01,0.79,0.76
LINEAR93,87.78,45.19,66.48,1.94,70.0,63.33,0.72,0.02,0.74,0.7
LINEAR94,65.56,39.63,52.59,0.88,53.33,51.67,0.57,0.01,0.58,0.56
LINEAR95,71.85,93.33,82.59,1.21,85.0,81.67,0.91,0.01,0.92,0.9
LINEAR96,75.56,62.22,68.89,1.86,71.67,66.67,0.81,0.02,0.84,0.79
LINEAR97,87.78,63.7,75.74,1.88,78.33,73.33,0.84,0.01,0.85,0.83
LINEAR98,65.56,66.3,65.93,1.21,68.33,65.0,0.76,0.02,0.78,0.73
LINEAR99,75.56,70.37,72.96,2.32,76.67,70.0,0.84,0.01,0.87,0.83
LINEAR100,87.78,55.93,71.85,1.55,75.0,70.0,0.7,0.01,0.71,0.68
LINEAR101,65.56,62.22,63.89,2.04,66.67,61.67,0.67,0.01,0.68,0.66
LINEAR102,75.56,60.74,68.15,1.3,70.0,66.67,0.77,0.02,0.8,0.75
LINEAR103,87.78,54.07,70.93,3.64,75.0,65.0,0.74,0.01,0.75,0.71
LINEAR104,65.56,54.44,60.0,2.36,63.33,56.67,0.65,0.01,0.66,0.64
LINEAR105,87.78,81.11,84.44,1.18,86.67,83.33,0.85,0.02,0.88,0.83
LINEAR106,65.56,52.59,59.07,1.88,61.67,56.67,0.66,0.01,0.67,0.65
OLD1,0.0,0.0,60.0,0.0,60.0,60.0,0.56,0.0,0.56,0.56
OLD2,0.0,0.0,88.33,0.0,88.33,88.33,0.92,0.0,0.92,0.92
OLD3,0.0,0.0,51.67,0.0,51.67,51.67,0.41,0.0,0.41,0.41
OLD4,0.0,0.0,85.0,0.0,85.0,85.0,0.94,0.0,0.94,0.94
OLD5,0.0,0.0,76.67,0.0,76.67,76.67,0.81,0.0,0.81,0.81
OLD6,0.0,0.0,51.67,0.0,51.67,51.67,0.45,0.0,0.45,0.45
OLD7,0.0,0.0,98.33,0.0,98.33,98.33,1.0,0.0,1.0,1.0
OLD8,0.0,0.0,95.0,0.0,95.0,95.0,0.95,0.0,0.95,0.95
OLD9,0.0,0.0,81.67,0.0,81.67,81.67,0.83,0.0,0.83,0.83
OLD10,0.0,0.0,73.33,0.0,73.33,73.33,0.72,0.0,0.72,0.72
OLD11,0.0,0.0,60.0,0.0,60.0,60.0,0.57,0.0,0.57,0.57
OLD12,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD13,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD14,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD15,0.0,0.0,98.33,0.0,98.33,98.33,1.0,0.0,1.0,1.0
OLD16,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD17,0.0,0.0,83.33,0.0,83.33,83.33,0.87,0.0,0.87,0.87
OLD18,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD19,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD20,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD21,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD22,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD23,0.0,0.0,96.67,0.0,96.67,96.67,0.97,0.0,0.97,0.97
OLD24,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD25,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
OLD26,0.0,0.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
