Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
OLD49,100.0,100.0,100.0,0.0,100.0,100.0
OLD50,100.0,100.0,100.0,0.0,100.0,100.0
OLD51,100.0,100.0,100.0,0.0,100.0,100.0
OLD52,100.0,100.0,100.0,0.0,100.0,100.0
OLD53,100.0,100.0,100.0,0.0,100.0,100.0
OLD54,100.0,100.0,100.0,0.0,100.0,100.0
OLD55,100.0,100.0,100.0,0.0,100.0,100.0
OLD56,100.0,100.0,100.0,0.0,100.0,100.0
OLD57,100.0,100.0,100.0,0.0,100.0,100.0
OLD58,0.0,100.0,50.0,0.0,50.0,50.0
OLD59,96.67,6.67,51.67,0.0,51.67,51.67
OLD60,93.33,10.0,51.67,0.0,51.67,51.67
OLD61,100.0,0.0,50.0,0.0,50.0,50.0
OLD62,76.67,26.67,51.67,0.0,51.67,51.67
OLD63,0.0,100.0,50.0,0.0,50.0,50.0
OLD64,23.33,86.67,55.0,0.0,55.0,55.0
OLD65,43.33,80.0,61.67,0.0,61.67,61.67
OLD66,33.33,93.33,63.33,0.0,63.33,63.33
OLD67,46.67,83.33,65.0,0.0,65.0,65.0
OLD68,93.33,16.67,55.0,0.0,55.0,55.0
OLD69,70.0,33.33,51.67,0.0,51.67,51.67
OLD70,76.67,36.67,56.67,0.0,56.67,56.67
OLD71,6.67,96.67,51.67,0.0,51.67,51.67
OLD72,23.33,86.67,55.0,0.0,55.0,55.0
OLD73,86.67,26.67,56.67,0.0,56.67,56.67
OLD74,33.33,83.33,58.33,0.0,58.33,58.33
OLD75,46.67,66.67,56.67,0.0,56.67,56.67
OLD76,3.33,96.67,50.0,0.0,50.0,50.0
OLD77,76.67,26.67,51.67,0.0,51.67,51.67
OLD78,76.67,33.33,55.0,0.0,55.0,55.0
OLD79,43.33,66.67,55.0,0.0,55.0,55.0
OLD80,23.33,90.0,56.67,0.0,56.67,56.67
OLD81,23.33,83.33,53.33,0.0,53.33,53.33
OLD82,43.33,63.33,53.33,0.0,53.33,53.33
OLD83,46.67,66.67,56.67,0.0,56.67,56.67
OLD84,80.0,26.67,53.33,0.0,53.33,53.33
OLD85,43.33,70.0,56.67,0.0,56.67,56.67
OLD86,23.33,86.67,55.0,0.0,55.0,55.0
OLD87,23.33,83.33,53.33,0.0,53.33,53.33
