Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF37,67.78,99.63,83.7,1.82,85.0,80.0,1.0,0.0,1.0,0.99
RBF38,84.44,91.11,87.78,2.36,91.67,85.0,0.96,0.01,0.97,0.94
RBF39,97.41,99.26,98.33,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF40,98.89,100.0,99.44,0.83,100.0,98.33,1.0,0.0,1.0,1.0
RBF41,87.04,100.0,93.52,1.3,95.0,91.67,0.98,0.02,1.0,0.97
RBF42,86.3,100.0,93.15,1.76,95.0,90.0,1.0,0.0,1.0,1.0
RBF43,78.52,100.0,89.26,0.88,90.0,88.33,1.0,0.0,1.0,1.0
RBF44,69.26,100.0,84.63,2.86,88.33,81.67,1.0,0.0,1.0,1.0
RBF45,67.78,100.0,83.89,1.67,85.0,80.0,1.0,0.0,1.0,1.0
RBF46,84.44,100.0,92.22,2.89,96.67,88.33,1.0,0.0,1.0,1.0
RBF47,95.56,85.19,90.37,1.62,93.33,88.33,0.97,0.01,0.98,0.96
RBF48,97.41,100.0,98.7,0.73,100.0,98.33,1.0,0.0,1.0,1.0
RBF49,98.89,100.0,99.44,0.83,100.0,98.33,1.0,0.0,1.0,1.0
RBF50,87.04,100.0,93.52,1.3,95.0,91.67,0.98,0.02,1.0,0.97
RBF51,86.3,100.0,93.15,1.76,95.0,90.0,1.0,0.0,1.0,1.0
RBF52,78.52,100.0,89.26,0.88,90.0,88.33,1.0,0.0,1.0,1.0
RBF53,69.26,100.0,84.63,2.86,88.33,81.67,1.0,0.0,1.0,1.0
RBF54,67.78,100.0,83.89,1.67,85.0,80.0,1.0,0.0,1.0,1.0
RBF55,84.44,100.0,92.22,2.89,96.67,88.33,1.0,0.0,1.0,1.0
RBF56,95.56,98.15,96.85,1.0,98.33,95.0,0.98,0.02,1.0,0.97
RBF57,80.74,96.3,88.52,1.3,90.0,86.67,0.97,0.02,1.0,0.96
RBF58,97.41,93.33,95.37,0.73,96.67,95.0,1.0,0.0,1.0,0.99
RBF59,98.89,93.33,96.11,0.83,96.67,95.0,0.98,0.01,0.99,0.96
