Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF76,93.7,42.59,68.15,5.56,75.0,56.67
RBF77,86.3,36.3,61.3,3.89,66.67,55.0
RBF78,97.41,13.33,55.37,3.51,61.67,50.0
RBF79,78.52,33.33,55.93,2.78,58.33,50.0
RBF80,87.41,11.48,49.44,2.2,53.33,46.67
RBF81,69.63,42.96,56.3,4.15,66.67,53.33
RBF82,56.67,45.93,51.3,2.61,55.0,46.67
RBF83,68.15,41.85,55.0,2.89,60.0,51.67
RBF84,93.33,29.26,61.3,3.09,66.67,56.67
RBF85,79.26,53.33,66.3,4.55,76.67,61.67
RBF86,88.52,12.22,50.37,2.47,55.0,48.33
RBF87,79.63,35.93,57.78,3.12,65.0,55.0
RBF88,68.52,35.93,52.22,1.44,55.0,50.0
RBF89,47.04,58.15,52.59,1.69,55.0,50.0
RBF90,67.78,63.7,65.74,4.09,71.67,60.0
RBF91,88.89,22.59,55.74,2.06,58.33,53.33
RBF92,77.04,40.74,58.89,2.64,63.33,55.0
RBF93,69.26,41.48,55.37,2.61,60.0,51.67
RBF94,42.59,65.93,54.26,5.53,60.0,41.67
RBF95,85.56,30.74,58.15,3.27,61.67,51.67
RBF96,73.7,52.59,63.15,5.17,71.67,53.33
RBF97,72.59,35.56,54.07,3.13,61.67,51.67
RBF98,58.89,61.11,60.0,3.54,65.0,53.33
RBF99,72.96,62.22,67.59,4.57,73.33,58.33
RBF100,67.04,38.15,52.59,5.01,63.33,46.67
RBF101,62.96,52.22,57.59,2.65,61.67,53.33
RBF102,79.26,38.89,59.07,3.02,65.0,55.0
RBF103,76.3,45.19,60.74,3.02,65.0,56.67
RBF104,57.41,59.26,58.33,3.44,63.33,55.0
RBF105,77.04,53.7,65.37,2.86,70.0,60.0
RBF106,47.78,81.11,64.44,5.0,71.67,55.0
LINEAR1,96.3,70.37,83.33,2.76,88.33,80.0
LINEAR2,97.78,89.63,93.7,1.82,95.0,90.0
LINEAR3,51.85,80.37,66.11,3.44,71.67,60.0
LINEAR4,96.3,93.33,94.81,1.55,96.67,93.33
LINEAR5,80.37,61.48,70.93,3.64,76.67,68.33
LINEAR6,96.67,80.0,88.33,5.4,96.67,81.67
LINEAR7,88.15,94.81,91.48,2.12,93.33,86.67
LINEAR8,72.59,92.96,82.78,4.79,88.33,73.33
LINEAR9,98.89,87.04,92.96,3.8,96.67,86.67
LINEAR10,99.26,82.96,91.11,5.53,96.67,83.33
LINEAR11,96.3,60.74,78.52,6.69,88.33,70.0
LINEAR12,89.63,96.67,93.15,3.38,96.67,88.33
LINEAR13,85.93,93.7,89.81,2.94,91.67,83.33
LINEAR14,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR15,100.0,88.89,94.44,3.54,98.33,90.0
LINEAR16,100.0,95.19,97.59,1.47,100.0,95.0
LINEAR17,95.19,77.04,86.11,4.25,93.33,78.33
LINEAR18,94.81,95.93,95.37,2.47,98.33,91.67
LINEAR19,86.3,90.0,88.15,3.86,91.67,80.0
