Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
LINEAR17,67.78,100.0,83.89,2.5,86.67,78.33,0.96,0.0,0.97,0.96
LINEAR18,99.26,96.67,97.96,0.73,98.33,96.67,1.0,0.0,1.0,1.0
LINEAR19,83.33,96.67,90.0,0.0,90.0,90.0,0.94,0.01,0.96,0.93
LINEAR20,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR21,99.63,100.0,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR22,86.3,100.0,93.15,2.27,98.33,91.67,1.0,0.0,1.0,1.0
LINEAR23,67.78,100.0,83.89,2.5,86.67,78.33,1.0,0.0,1.0,1.0
LINEAR24,99.26,100.0,99.63,0.73,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR25,83.33,100.0,91.67,0.0,91.67,91.67,0.97,0.01,1.0,0.96
LINEAR26,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR27,99.63,100.0,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR28,86.3,100.0,93.15,2.27,98.33,91.67,1.0,0.0,1.0,1.0
LINEAR29,67.78,100.0,83.89,2.5,86.67,78.33,1.0,0.0,1.0,1.0
LINEAR30,67.78,97.04,82.41,0.88,83.33,81.67,0.96,0.0,0.97,0.95
LINEAR31,99.26,96.67,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR32,83.33,96.67,90.0,0.0,90.0,90.0,0.95,0.01,0.99,0.95
LINEAR33,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR34,99.63,100.0,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR35,86.3,100.0,93.15,2.27,98.33,91.67,1.0,0.0,1.0,1.0
LINEAR36,67.78,100.0,83.89,2.5,86.67,78.33,1.0,0.0,1.0,1.0
