Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
OLD64,83.33,23.33,53.33,0.0,53.33,53.33
OLD65,33.33,86.67,60.0,0.0,60.0,60.0
OLD66,73.33,53.33,63.33,0.0,63.33,63.33
OLD67,33.33,93.33,63.33,0.0,63.33,63.33
OLD68,50.0,60.0,55.0,0.0,55.0,55.0
OLD69,100.0,10.0,55.0,0.0,55.0,55.0
OLD70,96.67,20.0,58.33,0.0,58.33,58.33
OLD71,33.33,73.33,53.33,0.0,53.33,53.33
OLD72,26.67,90.0,58.33,0.0,58.33,58.33
OLD73,100.0,10.0,55.0,0.0,55.0,55.0
OLD74,73.33,36.67,55.0,0.0,55.0,55.0
OLD75,76.67,30.0,53.33,0.0,53.33,53.33
OLD76,0.0,100.0,50.0,0.0,50.0,50.0
OLD77,100.0,10.0,55.0,0.0,55.0,55.0
OLD78,73.33,30.0,51.67,0.0,51.67,51.67
OLD79,83.33,30.0,56.67,0.0,56.67,56.67
OLD80,26.67,90.0,58.33,0.0,58.33,58.33
OLD81,100.0,6.67,53.33,0.0,53.33,53.33
OLD82,63.33,56.67,60.0,0.0,60.0,60.0
OLD83,76.67,30.0,53.33,0.0,53.33,53.33
OLD84,90.0,13.33,51.67,0.0,51.67,51.67
OLD85,53.33,56.67,55.0,0.0,55.0,55.0
OLD86,26.67,90.0,58.33,0.0,58.33,58.33
OLD87,10.0,100.0,55.0,0.0,55.0,55.0
OLD88,63.33,53.33,58.33,0.0,58.33,58.33
OLD89,63.33,46.67,55.0,0.0,55.0,55.0
OLD90,33.33,83.33,58.33,0.0,58.33,58.33
OLD91,36.67,86.67,61.67,0.0,61.67,61.67
OLD92,10.0,100.0,55.0,0.0,55.0,55.0
OLD93,63.33,46.67,55.0,0.0,55.0,55.0
OLD94,76.67,33.33,55.0,0.0,55.0,55.0
OLD95,50.0,80.0,65.0,0.0,65.0,65.0
OLD96,33.33,80.0,56.67,0.0,56.67,56.67
OLD97,73.33,40.0,56.67,0.0,56.67,56.67
OLD98,20.0,93.33,56.67,0.0,56.67,56.67
OLD99,33.33,83.33,58.33,0.0,58.33,58.33
OLD100,63.33,66.67,65.0,0.0,65.0,65.0
OLD101,33.33,80.0,56.67,0.0,56.67,56.67
OLD102,33.33,90.0,61.67,0.0,61.67,61.67
OLD103,63.33,66.67,65.0,0.0,65.0,65.0
OLD104,70.0,50.0,60.0,0.0,60.0,60.0
OLD105,63.33,63.33,63.33,0.0,63.33,63.33
OLD106,80.0,40.0,60.0,0.0,60.0,60.0
